"EventDetailID","EventID","ViolationID","Resolved?","DateResolved","DetailAttach","IncludeCitation"
64,34,113,0,,"DSCF0040.JPG;DSCF0041.JPG;DSCF0042.JPG;DSCF0043.JPG;DSCF0044.JPG;DSCF0045.JPG;DSCF0046.JPG",0
65,35,100,1,4/16/2015 0:00:00,"DSCF0095.JPG",1
66,35,101,1,4/16/2015 0:00:00,,1
67,35,113,1,4/16/2015 0:00:00,,0
68,36,100,1,4/9/2015 0:00:00,"DSCF0092.JPG;DSCF0093.JPG",1
69,36,101,1,4/9/2015 0:00:00,,1
70,36,102,1,4/9/2015 0:00:00,,1
71,37,85,1,4/16/2015 0:00:00,"DSCF0097.JPG;DSCF0098.JPG;DSCF0099.JPG",1
72,37,100,1,4/16/2015 0:00:00,,1
73,38,61,1,4/17/2015 0:00:00,"2111 Garrick Action Form.pdf;DSCF0112.JPG;DSCF0113.JPG;DSCF0114.JPG;DSCF0115.JPG;DSCF0117.JPG;DSCF0118.JPG;DSCF0119.JPG;DSCF0120.JPG;DSCF0121.JPG",1
74,38,69,1,4/17/2015 0:00:00,,1
75,38,70,1,4/17/2015 0:00:00,,1
76,39,64,0,,"DSCF0103.JPG;DSCF0104.JPG;DSCF0105.JPG;DSCF0106.JPG;DSCF0107.JPG;DSCF0108.JPG;DSCF0109.JPG;DSCF0110.JPG;DSCF0111.JPG",1
77,40,86,1,4/23/2015 0:00:00,"319 Cline Action Form.pdf;DSCF0125.JPG;DSCF0126.JPG",1
78,40,102,1,4/23/2015 0:00:00,,1
79,41,135,0,,"106 Hart Action Form.pdf;DSCF0068.JPG;DSCF0069.JPG;DSCF0070.JPG;DSCF0071.JPG;DSCF0072.JPG;DSCF0073.JPG;DSCF0150.JPG;DSCF0151.JPG;DSCF0152.JPG",1
80,42,100,1,4/22/2015 0:00:00,"DSCF0153.JPG;DSCF0154.JPG",1
81,42,101,1,4/22/2015 0:00:00,,1
82,43,100,1,4/9/2015 0:00:00,"DSCF0123.JPG;DSCF0124.JPG",1
83,43,101,1,4/9/2015 0:00:00,,1
84,43,102,1,4/9/2015 0:00:00,,1
85,46,91,1,4/27/2015 0:00:00,"102 Briaridge DOT Abstract.pdf;DSCF0078.JPG;DSCF0079.JPG;DSCF0080.JPG;DSCF0101.JPG;DSCF0138.JPG",1
86,47,100,1,5/14/2015 0:00:00,"124 Powell Owner Notice.pdf;DSCF0157.JPG;DSCF0158.JPG",1
87,47,131,1,4/23/2015 0:00:00,,1
88,48,100,1,4/16/2015 0:00:00,"DSCF0159.JPG;DSCF0160.JPG",1
89,48,101,1,4/16/2015 0:00:00,,1
90,49,136,1,4/22/2015 0:00:00,"403 Nothern Pike Action Form.pdf;DSCF0162.JPG;DSCF0163.JPG;DSCF0164.JPG",1
91,49,100,1,4/22/2015 0:00:00,,1
92,49,101,1,4/22/2015 0:00:00,,1
93,49,102,1,4/22/2015 0:00:00,,1
94,49,131,1,4/22/2015 0:00:00,,1
95,49,86,1,4/22/2015 0:00:00,,1
96,50,136,1,5/6/2015 0:00:00,"330 Cline Street Action Form.pdf;DSCF0047.JPG",1
97,50,88,1,5/6/2015 0:00:00,,1
103,53,136,0,,"DSCF0165.JPG;DSCF0166.JPG;DSCF0167.JPG;DSCF0168.JPG;DSCF0169.JPG;DSCF0170.JPG;DSCF0171.JPG;DSCF0172.JPG;DSCF0173.JPG;DSCF0174.JPG;DSCF0175.JPG",1
104,53,86,0,,,1
105,53,100,0,,,1
106,53,101,0,,,1
107,54,136,1,9/3/2015 0:00:00,"DSCF0179.JPG;DSCF0180.JPG",1
108,54,86,1,9/3/2015 0:00:00,,1
109,54,100,1,9/3/2015 0:00:00,,1
