parid,long,lat
0173D00276000000,-79.88463504,40.47153386
0173D00277000000,-79.88456952,40.4716207
0173D00279000000,-79.88450034,40.47170622
0173D00280000000,-79.88445455,40.47176636
0173D00281000000,-79.88436599,40.47188423
0173D00284000000,-79.8842512,40.47202965
0173D00286000000,-79.88416393,40.47214554
0173D00294000000,-79.88494286,40.4720027
0173D00297000000,-79.88496489,40.47186853
0173D00298000000,-79.88501708,40.47177188
0173D00299000000,-79.88507338,40.47171634
0173D00301000000,-79.88511098,40.47166034
0173D00302000000,-79.88518043,40.47162454
0173D00304000000,-79.88524308,40.47156579
0173D00308000000,-79.88536491,40.47150387
0173D00310000000,-79.88555561,40.47144609
0173D00312000000,-79.8856418,40.47141839
0173D00314000000,-79.88572939,40.47139402
0173D00316000000,-79.88581149,40.47136568
0173D00317000000,-79.88589769,40.47134407
0173D00321000000,-79.8860183,40.47130699
0173D00323000000,-79.88613709,40.47127072
0173D00325000000,-79.88622536,40.47124476
0173D00327000000,-79.88631073,40.47121789
0173D00328000000,-79.88639667,40.47119493
0173D00329000000,-79.88647835,40.47116874
0173D00331000000,-79.88659949,40.47113234
0173D00332000000,-79.88672338,40.47109631
0173D00333000000,-79.88680209,40.47106925
0173D00334000000,-79.88688513,40.47104567
0173D00335000000,-79.88697063,40.47101931
0173D00339000000,-79.88681672,40.47143196
0173D00341000000,-79.88669141,40.47146844
0173D00342000000,-79.88660288,40.47149177
0173D00343000000,-79.88651826,40.47151727
0173D00344000000,-79.8863789,40.47155581
0173D00347000000,-79.88617098,40.47161428
0173D00351000000,-79.8860217,40.47165764
0173D00352000000,-79.88593321,40.47168288
0173D00354000000,-79.88580135,40.47169965
0173D00357000000,-79.88559004,40.47180806
0173D00367000000,-79.88547652,40.47204089
0173D00380000000,-79.88556727,40.4722114
0173D00382000000,-79.88605411,40.47216998
0173D00384000000,-79.88620742,40.47212407
0173D00386000000,-79.88633949,40.47208798
0173D00387000000,-79.88642683,40.47206414
0173D00392000000,-79.88657662,40.47202301
0173D00397000000,-79.88679022,40.47196302
0173D00398000000,-79.88694784,40.47192494
0173G00090000000,-79.88837168,40.46939
0173G00155000000,-79.88877388,40.46774781
0173G00252000000,-79.88891092,40.46739376
0173G00254000000,-79.88836472,40.4673866
0173G00256000000,-79.88836423,40.46748249
0173G00257000000,-79.88836642,40.4675502
0173G00258000000,-79.88836581,40.46763675
0173G00260000000,-79.88836437,40.46774099
0173G00261000000,-79.88836797,40.46782522
0173G00262000000,-79.88838827,40.467897
0173G00264000000,-79.88830263,40.46803145
0173G00266000000,-79.88831891,40.46811112
0173G00268000000,-79.88831161,40.46818126
0173G00270000000,-79.88831691,40.46825465
0173G00271000000,-79.88831808,40.46832032
0173G00273000000,-79.88831672,40.46838922
0173G00275000000,-79.88831839,40.46852456
0173G00278000000,-79.88832541,40.4686568
0173G00280000000,-79.88832271,40.46873368
0173G00281000000,-79.8883282,40.46880551
0173G00283000000,-79.88832873,40.4688715
0173G00285000000,-79.88832546,40.46897593
0173G00287000000,-79.88842551,40.46908653
0173G00289000000,-79.88820481,40.46907568
